threads,size,pin,runtime,energy
15.521708,500,false,0.047108073,2.100459
15.521708,500,false,0.047114313,2.096674
15.521708,500,false,0.04707646,2.088679
15.521708,500,false,0.04710259,2.098993
15.521708,500,false,0.04757169,2.131953
15.521708,500,false,0.047016677,2.095453
15.521708,500,false,0.047125235,2.108637
15.366331,500,false,0.046986353,2.087397
15.366331,1000,false,0.41592714,18.297379
15.366331,1000,false,0.41701475,18.32759
15.366331,1000,false,0.41744676,18.40956
15.366331,1000,false,0.41900015,18.379408
15.366331,1000,false,0.41652328,18.359388
15.366331,1000,false,0.4173663,18.372513
15.366331,1000,false,0.4165142,18.379164
15.366331,1000,false,0.41643882,18.341078
15.366331,1000,false,0.41631946,18.295547
7.366331,1000,false,0.418743,18.480179
7.366331,1000,false,0.52741885,20.290476
7.366331,1000,false,0.52495635,20.131111
7.366331,1000,false,0.50946105,19.977243
7.366331,1000,false,0.5187146,20.115671
7.366331,1000,false,0.5542272,20.468576
7.366331,1000,false,0.5156663,19.95704
7.366331,1000,false,0.5163852,20.139536
7.366331,1000,false,0.5191586,20.150644
7.366331,1000,false,0.5236604,20.272043
12.166331,1000,false,0.5161696,20.005749
12.166331,1000,false,0.42732328,18.592176
12.166331,1000,false,0.4321348,18.788404
12.166331,1000,false,0.42956626,18.628187
12.166331,1000,false,0.44122377,18.828075
12.166331,1000,false,0.43053693,18.710585
12.166331,1000,false,0.42914614,18.607311
12.166331,1000,false,0.42791054,18.57057
12.166331,1000,false,0.4353714,18.641554
12.166331,1000,false,0.42917788,18.604689
15.046331,1000,false,0.43217957,18.797985
15.046331,1000,false,0.41918722,18.607008
15.046331,1000,false,0.41699076,18.42781
15.046331,1000,false,0.4174802,18.36299
15.046331,1000,false,0.41649508,18.357313
15.046331,1000,false,0.41723168,18.43025
15.046331,1000,false,0.41700253,18.729568
15.046331,1000,false,0.41646993,18.373304
15.046331,1000,false,0.41616744,18.358046
15.046331,1000,false,0.4148937,18.319777
16,1000,false,0.41546935,18.37764
16,1000,false,0.41283435,18.413773
16,1000,false,0.41206327,18.321363
16,1000,false,0.41361767,18.477613
16,1000,false,0.41206503,18.254105
16,1000,false,0.41263035,18.4944
16,1000,false,0.41275525,18.450577
16,1000,false,0.41134724,18.353592
16,1000,false,0.41397506,18.498184
16,1000,false,0.41366944,18.504225
14.9632,1000,false,0.41344035,18.54646
14.9632,1000,false,0.41740566,18.442276
14.9632,1000,false,0.41659784,18.412428
14.9632,1000,false,0.41760176,18.556166
14.9632,1000,false,0.42172897,18.702831
14.9632,1000,false,0.41644853,18.43202
14.9632,1000,false,0.4167792,18.36238
14.9632,1000,false,0.42155167,18.502028
14.9632,1000,false,0.4162618,18.377028
14.9632,1000,false,0.4168812,18.383316
14.34112,1000,false,0.41772747,18.418776
14.34112,1000,false,0.42200822,18.568434
14.34112,1000,false,0.42193115,18.579298
14.34112,1000,false,0.4230737,18.607985
14.34112,1000,false,0.42165267,18.572645
14.34112,1000,false,0.4198556,18.546827
14.34112,1000,false,0.42108548,18.682388
14.34112,1000,false,0.42275402,18.63252
14.34112,1000,false,0.41870674,18.498549
14.34112,1000,false,0.42098513,18.520948
14.763705,1000,false,0.42361128,18.616224
14.763705,1000,false,0.41821632,18.567701
14.763705,1000,false,0.41825402,18.531202
14.763705,1000,false,0.41597492,18.430252
14.763705,1000,false,0.41744295,18.728956
14.763705,1000,false,0.41926423,18.799635
14.763705,1000,false,0.41951925,18.758984
14.763705,1000,false,0.41957006,18.845776
14.763705,1000,false,0.41721547,18.618055
14.763705,1000,false,0.41575933,18.386976
14.431637,1000,false,0.41641918,18.583876
14.431637,1000,false,0.42172745,18.610245
14.431637,1000,false,0.4197224,18.582413
14.431637,1000,false,0.4221237,18.606031
14.431637,1000,false,0.4222681,18.605482
14.431637,1000,false,0.42011032,18.675917
14.431637,1000,false,0.42206365,18.582533
14.431637,1000,false,0.42028987,18.6501
14.431637,1000,false,0.41919315,18.528397
14.431637,1000,false,0.4238626,18.650038
14.712559,1000,false,0.41993973,18.57118
14.712559,1000,false,0.41550928,18.56703
14.712559,1000,false,0.41733158,18.649427
14.712559,1000,false,0.4172784,18.869093
14.712559,1000,false,0.42965978,19.644054
14.712559,1000,false,0.42141604,19.021313
14.712559,1000,false,0.42127398,19.044325
14.712559,1000,false,0.44263288,19.093151
14.712559,1000,false,0.41870615,18.83424
14.712559,1000,false,0.417123,18.724625
14.464158,1000,false,0.4153592,18.61958
14.464158,1000,false,0.4193184,18.552015
14.464158,1000,false,0.42466214,18.900585
14.464158,1000,false,0.42019916,18.682936
14.464158,1000,false,0.41831967,18.529736
14.464158,1000,false,0.42087212,18.569412
14.464158,1000,false,0.41931129,18.624586
14.464158,1000,false,0.4222371,18.605848
14.464158,1000,false,0.42257628,18.613785
14.464158,1000,false,0.42032552,18.599745
14.23801,1000,false,0.42183882,18.945507
14.23801,1000,false,0.41879097,18.5652
14.23801,1000,false,0.4215635,18.637344
14.23801,1000,false,0.4218644,18.674818
14.23801,1000,false,0.422694,18.615248
14.23801,1000,false,0.41961938,18.558668
14.23801,1000,false,0.42233622,18.709608
14.23801,1000,false,0.42072487,18.661572
14.23801,1000,false,0.4199081,18.66371
14.23801,1000,false,0.42256588,18.588148
14.448156,1000,false,0.41883177,18.610365
14.448156,1000,false,0.42217672,18.689892
14.448156,1000,false,0.42291835,18.900587
14.448156,1000,false,0.42215657,18.734327
14.448156,1000,false,0.41862562,18.666945
14.448156,1000,false,0.42482704,19.163893
14.448156,1000,false,0.419748,18.702894
14.448156,1000,false,0.42056152,18.596085
14.448156,1000,false,0.42299825,18.687452
14.448156,1000,false,0.4204831,18.807936
14.249933,1000,false,0.422807,18.7552
14.249933,1000,false,0.419152,18.585218
14.249933,1000,false,0.42030108,18.595352
14.249933,1000,false,0.42154726,18.800184
14.249933,1000,false,0.42261997,18.789017
14.249933,1000,false,0.42074892,18.803724
14.249933,1000,false,0.42072088,18.861647
14.249933,1000,false,0.42247146,18.641615
14.249933,1000,false,0.42056474,18.950268
14.249933,1000,false,0.42067996,18.791334
14.439037,1000,false,0.42277545,18.638563
14.439037,1000,false,0.42016506,18.8318
14.439037,1000,false,0.42233357,18.605663
14.439037,1000,false,0.42092112,18.830212
14.439037,1000,false,0.42167616,18.607435
14.439037,1000,false,0.42212838,18.777843
14.439037,1000,false,0.4223857,18.644604
14.439037,1000,false,0.42184982,18.67854
14.439037,1000,false,0.41740537,18.65315
14.439037,1000,false,0.41858432,18.530533
14.621025,1000,false,0.41852936,18.741163
14.621025,1000,false,0.41686526,18.66841
14.621025,1000,false,0.41675356,18.68086
14.621025,1000,false,0.4166924,18.697643
14.621025,1000,false,0.41585425,18.645216
14.621025,1000,false,0.41410804,18.587112
14.621025,1000,false,0.41793168,18.796703
14.621025,1000,false,0.41587394,18.612013
14.621025,1000,false,0.41730535,18.738234
14.621025,1000,false,0.41840506,18.83528
14.797372,1000,false,0.414939,18.477674
14.797372,1000,false,0.4164436,18.707045
14.797372,1000,false,0.4189858,18.75642
14.797372,1000,false,0.41703114,18.64064
14.797372,1000,false,0.420341,18.80879
14.797372,1000,false,0.41713542,18.69856
14.797372,1000,false,0.41901556,18.784315
14.797372,1000,false,0.41504043,18.598646
14.797372,1000,false,0.41547295,18.566725
14.797372,1000,false,0.4169006,18.63722
14.625552,1000,false,0.41714033,18.669935
14.625552,1000,false,0.41666764,18.62666
14.625552,1000,false,0.41637737,18.473707
14.625552,1000,false,0.4153161,18.528763
14.625552,1000,false,0.41555738,18.47334
14.625552,1000,false,0.41669104,18.64668
14.625552,1000,false,0.41723135,18.550856
14.625552,1000,false,0.4152182,18.578138
14.625552,1000,false,0.41615173,18.462112
14.625552,1000,false,0.4182111,18.714249
14.457401,1000,false,0.41680083,18.576124
14.457401,1000,false,0.42400953,18.84889
14.457401,1000,false,0.42024702,18.708815
14.457401,1000,false,0.42250082,18.95442
14.457401,1000,false,0.4297488,19.229382
14.457401,1000,false,0.41953236,18.562208
14.457401,1000,false,0.42041552,18.536024
14.457401,1000,false,0.42135584,18.57472
14.457401,1000,false,0.41828844,18.551222
14.457401,1000,false,0.42503002,18.769667
14.622555,1000,false,0.42135277,18.658096
14.622555,1000,false,0.41694075,18.491283
14.622555,1000,false,0.41555715,18.4543
14.622555,1000,false,0.4172517,18.635084
14.622555,1000,false,0.4154279,18.473583
14.622555,1000,false,0.41694,18.711378
14.622555,1000,false,0.41994077,18.86604
14.622555,1000,false,0.41751456,18.625624
14.622555,1000,false,0.41701233,18.415724
14.622555,1000,false,0.41723916,18.667372
14.785243,1000,false,0.4193819,18.535902
14.785243,1000,false,0.41490683,18.4969
14.785243,1000,false,0.41709846,18.545973
14.785243,1000,false,0.4196257,18.658705
14.785243,1000,false,0.4163059,18.431717
14.785243,1000,false,0.41627032,18.667313
14.785243,1000,false,0.4169597,18.580456
14.785243,1000,false,0.41607866,18.450209
14.785243,1000,false,0.41455644,18.412489
14.785243,1000,false,0.415416,18.563553
14.945892,1000,false,0.4186758,18.763012
14.945892,1000,false,0.41552565,18.418472
14.945892,1000,false,0.4156311,18.4532
14.945892,1000,false,0.4148586,18.555984
14.945892,1000,false,0.41664845,18.471329
14.945892,1000,false,0.41542596,18.664747
14.945892,1000,false,0.41847822,18.739635
14.945892,1000,false,0.41636717,18.582413
14.945892,1000,false,0.4168376,18.698317
14.945892,1000,false,0.41725513,18.654003
14.786936,1000,false,0.4180051,18.714855
14.786936,1000,false,0.41761437,18.523878
14.786936,1000,false,0.41685355,18.523453
14.786936,1000,false,0.41693172,18.681717
14.786936,1000,false,0.41502863,18.60542
14.786936,1000,false,0.41773418,18.537855
14.786936,1000,false,0.41651115,18.561964
14.786936,1000,false,0.4164359,18.727123
14.786936,1000,false,0.41609854,18.626904
14.786936,1000,false,0.41638777,18.650587
14.944482,1000,false,0.4197406,18.783705
14.944482,1000,false,0.4158327,18.531874
14.944482,1000,false,0.41896075,18.794449
14.944482,1000,false,0.41638952,18.611708
14.944482,1000,false,0.41494265,18.471632
14.944482,1000,false,0.418458,18.747938
14.944482,1000,false,0.41500407,18.559095
14.944482,1000,false,0.43186375,19.746103
14.944482,1000,false,0.41885826,18.812267
14.944482,1000,false,0.41813463,18.819532
14.788116,1000,false,0.42137012,18.97444
14.788116,1000,false,0.42042202,18.921703
14.788116,1000,false,0.4356331,20.336496
